customer_id,last_purchase_date,frequency,monetary,quantity,recency,purchase_days
12346,2019-09-15,1,174.98174,3,108,1
12347,2019-11-02,31,15686.84396,342,60,3
12348,2019-10-19,8,1689.5559400000002,209,74,2
12350,2019-12-14,11,1467.4352800000001,21,18,1
12356,2019-09-15,13,2007.429,56,108,1
12359,2019-08-23,3,784.0332000000001,86,131,1
12370,2019-06-25,44,8031.29582,613,190,2
12373,2019-12-07,5,595.5660600000001,22,25,1
12377,2019-11-21,37,11244.90066,421,41,2
12383,2019-09-23,39,5865.099560000001,185,100,4
12386,2019-07-28,6,680.4015800000001,15,157,2
12388,2019-09-08,10,909.8165,25,115,1
12393,2019-08-31,13,2397.5043800000003,119,123,2
12395,2019-07-20,14,1721.25164,61,165,3
12402,2019-09-28,6,676.1233,17,95,1
12410,2019-12-21,14,2725.0742,67,11,1
12413,2019-08-22,10,3434.5452600000003,259,132,2
12414,2019-12-14,6,697.9715,7,18,2
12415,2019-08-13,24,3294.23923,169,141,3
12417,2019-10-18,15,2024.68804,157,75,3
12421,2019-10-16,6,2075.89838,17,77,1
12422,2019-09-20,9,1007.21776,101,103,2
12423,2019-07-12,8,882.5946600000001,17,173,1
12427,2019-07-14,3,1534.11808,170,171,2
12429,2019-04-13,10,2914.15228,133,263,1
12431,2019-11-21,32,6171.70308,57,41,5
12433,2019-04-10,55,18863.68884,1494,266,3
12434,2019-05-23,1,50.7776,15,223,1
12437,2019-12-14,14,2755.16638,26,18,3
12441,2019-03-29,11,1653.77868,16,278,2
12451,2019-09-19,57,10932.28554,799,104,1
12464,2019-12-18,6,1096.3022,10,14,1
12468,2019-11-10,7,1560.99244,26,52,1
12471,2019-12-16,70,15517.648650000001,279,16,11
12472,2019-10-30,67,13372.6937,508,63,3
12474,2019-11-01,27,7314.63474,225,61,6
12476,2019-11-28,13,3435.4610000000002,302,34,2
12477,2019-12-05,2,254.23685,2,27,1
12480,2019-08-06,14,1670.30036,51,148,1
12481,2019-08-02,13,10856.093700000001,757,152,4
12483,2019-07-18,6,1161.5919800000001,27,167,1
12484,2019-08-04,35,6589.10394,434,150,1
12489,2019-08-03,6,736.88596,48,151,1
12490,2019-08-30,22,3189.99672,61,124,1
12494,2019-07-20,5,486.76556999999997,9,165,4
12500,2019-08-13,3,102.48740000000001,5,141,1
12501,2019-11-20,71,11656.62918,606,42,3
12502,2019-12-16,21,5125.28861,117,16,1
12503,2019-07-27,1,17.161500000000004,1,158,1
12510,2019-09-18,12,1496.21764,216,105,1
12515,2019-07-13,4,1571.37022,95,172,1
12523,2019-08-22,3,511.3107600000001,28,132,1
12524,2019-08-14,5,631.95496,23,140,2
12527,2019-09-15,6,1863.7461999999998,424,108,1
12528,2019-11-27,22,4672.2192000000005,96,35,1
12530,2019-08-02,8,1566.4464,86,152,1
12539,2019-11-08,100,20851.42164,486,54,4
12540,2019-12-10,32,4813.4365800000005,310,22,4
12551,2019-06-26,9,1693.5268,17,189,1
12553,2019-10-23,14,1907.6574,91,70,3
12557,2019-08-17,4,342.75383999999997,10,137,3
12559,2019-12-11,11,3100.4196,136,21,2
12567,2019-12-21,71,13765.03646,519,11,3
12574,2019-11-16,5,1679.7836000000002,190,46,1
12577,2019-06-12,33,6830.13114,976,203,1
