customer_id,total_invoice,total_quantity,cant_products,freq_purchase,cant_transactions,cant_categories,cant_coupons,cant_coupons_used
12346,174.98174,3,2,1,1,2,2,2
12347,15655.725960000002,340,41,3,31,9,12,20
12348,1689.5559400000002,209,21,2,8,6,10,11
12350,1467.43528,21,11,1,11,4,4,6
12356,2007.429,56,33,1,13,7,6,11
12359,784.0332,86,16,1,3,3,3,2
12370,8031.29582,612,61,2,44,9,12,20
12373,595.56606,22,13,1,5,3,3,3
12377,11128.91166,420,54,2,36,8,11,21
12383,5625.13156,183,49,4,39,9,15,21
12386,680.40158,15,10,2,6,4,5,6
12388,909.8165,25,18,1,10,8,7,1
12393,2397.5043800000003,119,17,2,13,7,7,9
12395,1721.25164,61,30,3,14,6,9,9
12402,676.1233,17,11,1,6,4,4,6
12410,2725.0742,67,23,1,14,7,7,4
12413,3434.5452600000003,259,21,2,10,5,6,12
12414,697.9715,7,6,2,6,5,5,1
12415,3294.23923,169,38,3,24,8,8,14
12417,2024.68804,157,28,3,15,7,11,11
12421,2075.89838,17,10,1,6,5,5,8
12422,1007.21776,101,11,2,9,5,4,5
12423,882.5946600000001,17,15,1,8,5,5,7
12427,1534.11808,170,13,2,3,6,6,6
12429,2914.1522800000002,133,17,1,10,5,5,6
12431,6171.70308,57,24,5,32,7,11,14
12433,18846.25024,1485,96,3,55,9,8,46
12434,50.7776,15,3,1,1,2,2,2
12437,2755.16638,26,15,3,14,5,7,3
12441,1653.77868,16,7,2,11,3,3,7
12451,10932.28554,799,61,1,57,10,9,34
12464,1096.3022,10,5,1,6,3,3,3
12468,1560.9924400000002,26,10,1,7,6,6,3
12471,15501.04045,278,72,11,70,10,19,40
12472,13278.7047,507,78,3,66,12,16,52
12474,7314.63474,225,20,6,27,5,10,15
12476,3435.4610000000002,302,21,2,13,8,7,10
12477,254.23685,2,2,1,2,2,2,1
12480,1660.05236,50,38,1,14,8,7,15
12481,10856.093700000001,757,39,4,13,8,12,13
12483,1161.5919800000001,27,14,1,6,5,5,2
12484,6373.69994,428,73,1,35,10,9,38
12489,736.8859600000001,46,12,1,6,6,6,4
12490,3189.99672,61,36,1,22,10,9,15
12494,486.76556999999997,9,7,4,5,5,7,4
12500,102.48740000000001,5,5,1,3,1,1,3
12501,11656.62918,606,98,3,71,11,10,44
12502,5125.2886100000005,117,18,1,21,5,5,14
12503,17.161500000000004,1,1,1,1,1,1,0
12510,1496.21764,216,24,1,12,8,7,9
12515,1571.37022,95,16,1,4,3,3,3
12523,511.3107600000001,28,7,1,3,5,4,5
12524,631.95496,23,16,2,5,5,5,10
12527,1863.7462,424,10,1,6,4,4,1
12528,4672.2192000000005,96,16,1,22,6,6,12
12530,1566.4464,86,12,1,8,7,6,1
12539,20851.42164,486,92,4,100,11,10,54
12540,4813.4365800000005,310,53,4,32,9,13,18
12551,1693.5268,17,7,1,9,4,4,3
12553,1907.6574,91,36,3,14,11,11,10
12557,342.75384,10,8,3,4,1,1,5
12559,3100.4196,136,15,2,11,5,5,8
12567,13765.036460000001,519,86,3,71,10,14,49
12574,1679.7836000000002,190,11,1,5,7,7,7
12577,6830.13114,976,54,1,33,7,7,21
12578,6156.4448600000005,116,47,4,40,9,9,30
12583,3320.84496,155,40,2,15,9,12,12
12585,4636.52956,209,55,2,26,9,8,21
12586,28.9082,1,1,1,1,1,1,0
12591,4997.04464,158,19,1,21,6,6,8
12594,804.3387,131,12,1,5,5,5,3
12600,888.8449499999999,16,13,4,8,4,5,9
12601,607.44524,9,9,1,4,5,5,5
